0,630.0,0.4,2,1.62,3,41.2,100
1,640.0,0.39,2,1.24,3,43.2,100
2,645.0,0.3,2,1.1,3,43.6,100
3,650.0,0.5,2,0.66,1,44.0,100
4,652.0,0.4,2,0.535,1,45.8,100
5,655.2,0.5,2,0.35,1,46.7,100
6,657.0,0.6,2,0.3,1,46.0,100
7,660.4,0.6,2,0.17,1,47.1,100
8,662.4,0.7,2,0.2,1,47.5,100
9,665.4,0.4,2,-0.7,1,47.6,100
10,667.0,0.6,2,-1.0,3,48.5,100
11,670.0,0.4,2,-1.24,3,48.8,100
12,672.8,1.0,2,1.0,3,46.4,100
13,675.0,13.0,5,3.2,10,43.3,100
14,676.0,19.0,5,3.8,10,41.4,100
15,677.2,34.6,5,4.0,10,38.6,100
16,678.0,45.0,10,4.7,10,34.0,100
17,679.0,51.3,10,5.0,10,33.0,100
18,680.0,60.7,10,5.0,10,27.0,30
19,681.0,65.0,10,4.9,10,23.3,30
20,681.8,68.94,10,4.9,10,19.0,30
21,683.2,71.58,20,4.8,10,15.0,30
22,684.0,73.15,20,4.6,10,13.0,30
23,686.0,75.14,20,4.4,10,9.0,10
24,688.0,75.98,20,4.1,10,6.5,10
25,690.0,76.4,20,3.7,10,5.8,10
26,694.6,76.5,20,4.18,10,5.01,10
27,700.0,76.8,20,3.8,10,4.45,10
28,704.8,77.0,20,2.5,3,3.06,10
29,710.0,77.3,20,2.2,3,2.1,3
30,715.0,77.56,20,2.0,3,1.45,3
31,720.0,77.6,20,1.3,3,1.6,3
